station,date,air_temperature_celcius,relative_humidity,windspeed_knots,max_wind_speed,precipitation ,GHI_w/m2
948701,15-05-18,10,47,5.2,8.9, 0.00I,88
948701,16-05-18,12,48.8,4.2,7, 0.00I,104
948701,17-05-18,13,49.4,3.8,9.9, 0.01G,112
948701,18-05-18,14,49.9,6.8,15.9, 0.00G,120
948701,19-05-18,12,51.6,3.4,11.1, 0.05G,101
948701,20-05-18,14,50.1,8.7,15, 0.00G,120
948701,21-05-18,14,51,9.9,15, 0.00I,119
948701,22-05-18,17,48.7,10.5,15, 0.00I,147
948701,23-05-18,15,49.9,7.9,13, 0.01G,129
948701,24-05-18,14,48.4,7.5,13, 0.00G,122
948701,25-05-18,14,50.7,8.6,13, 0.12G,119
948701,26-05-18,13,48.5,7.1,15.9, 0.00G,113
948701,27-05-18,14,48.1,13.7,19, 0.35G,122
948701,28-05-18,9,41.2,10,13, 0.02G,83
948701,29-05-18,12,42.8,12.1,19, 0.04G,109
948701,30-05-18,8,41.6,8.3,15.9, 0.24G,73
948701,31-05-18,11,43.8,6.5,12, 0.02G,99
948701,01-06-18,11,43.2,5.5,8, 0.00G,100
948701,02-06-18,12,47,4.8,8.9, 0.00I,105
948701,03-06-18,8,43.3,3.9,8, 0.00I,72
948701,04-06-18,9,43.2,4.9,8, 0.00I,82
948701,05-06-18,12,47.6,9.1,13, 0.12G,105
948701,06-06-18,9,40.8,6.7,15, 0.01G,83
948701,07-06-18,8,40.7,5.3,12, 0.00G,74
948701,08-06-18,10,46.3,4.6,8, 0.08G,88
948701,09-06-18,10,47.1,4.6,8.9, 0.00G,88
948701,10-06-18,8,44.5,4.7,7, 0.01G,72
948701,11-06-18,10,44.9,5.5,8.9, 0.00G,89
948701,12-06-18,12,49.4,4.4,8.9, 0.00I,103
948701,13-06-18,8,43.1,3.4,7, 0.00I,73
948701,14-06-18,11,46.4,6.5,8.9, 0.00I,97
948701,15-06-18,11,45.4,5.2,8.9, 0.00A,98
948701,16-06-18,8,42.6,2,6, 0.00I,73
948701,17-06-18,10,45.6,4.5,7, 0.00I,89
948701,18-06-18,10,47.9,4.1,7, 0.00I,87
948701,19-06-18,11,45.1,5.6,9.9, 0.00I,98
948701,20-06-18,11,45.3,10.6,16.9, 0.08G,98
948701,21-06-18,10,45.9,3.2,7, 0.00G,89
948701,22-06-18,10,41.4,9.4,14, 0.00I,92
948701,23-06-18,11,43.9,11.2,16.9, 0.12G,99
948701,24-06-18,10,37.9,8.5,14, 0.02G,94
948701,25-06-18,11,44.2,8.7,15.9, 0.04G,99
948701,26-06-18,10,45.7,3.6,7, 0.01G,89
948701,27-06-18,9,41,8.2,9.9, 0.00G,83
948701,28-06-18,10,43.7,7.2,11.1, 0.00I,90
948701,29-06-18,10,42.1,9.4,15, 0.13B,91
948701,30-06-18,5,34.9,4.3,11.1, 0.00A,48
948701,01-07-18,5,33.1,5.8,14, 0.00I,49
948701,02-07-18,6,30.8,5.7,11.1, 0.00I,60
948701,03-07-18,11,45.1,11.5,18.1, 0.20G,98
948701,04-07-18,12,47.2,8.8,15, 0.00G,105
948701,05-07-18,9,42.4,7.2,9.9, 0.00I,82
948701,06-07-18,9,40.1,7.5,11.1, 0.00I,84
948701,07-07-18,9,41.2,9.8,15.9, 0.00I,83
948701,08-07-18,9,42.8,9.3,13, 0.08G,82
948701,09-07-18,10,39.4,9.6,14, 0.00G,93
948701,10-07-18,10,44.4,5.6,11.1, 0.12G,90
948701,11-07-18,6,39,1.8,5.1, 0.01G,56
948701,12-07-18,9,39,5.6,8.9, 0.00G,84
948701,13-07-18,12,40.7,16.7,21, 0.12G,111
948701,14-07-18,9,40,8.6,15, 0.00G,84
948701,15-07-18,6,37.1,5.8,9.9, 0.00I,57
948701,16-07-18,10,35.6,14.5,20, 0.00I,96
948701,17-07-18,12,41.8,14.7,21, 0.00I,110
948701,18-07-18,10,44.8,8.8,14, 0.39G,89
948701,19-07-18,10,43.5,12,16.9, 0.04G,90
948701,20-07-18,7,40.5,8.1,15, 0.12G,65
948701,21-07-18,8,39.3,7.7,14, 0.00G,75
948701,22-07-18,11,35.3,18.2,25.1, 0.00I,106
948701,23-07-18,10,44.7,8,15.9, 0.08G,90
948701,24-07-18,12,44.7,11.4,18.1, 0.00G,107
948701,25-07-18,13,44,13.6,21, 0.04G,117
948701,26-07-18,8,43.8,7.3,14, 0.08G,72
948701,27-07-18,11,43.5,13.1,21, 0.24G,99
948701,28-07-18,11,40.5,13.4,26, 0.00G,102
948701,29-07-18,15,41.5,17,28.9, 0.00I,138
948701,30-07-18,9,42,4.6,12, 0.00I,82
948701,31-07-18,7,40.5,3.1,8, 0.00I,65
948701,01-08-18,7,40.7,3.7,7, 0.00I,65
948701,02-08-18,5,38.6,1.8,5.1, 0.00I,47
948701,03-08-18,8,44.6,3.9,8, 0.39G,72
948702,04-08-18,10,41,14.1,20, 0.02G,92
948702,05-08-18,11,40.4,19.3,26, 0.00G,102
948702,06-08-18,9,41.1,12.7,19, 0.24G,83
948702,07-08-18,9,42.9,8.9,15.9, 0.12G,82
948702,08-08-18,12,44.9,7.9,11.1, 0.00G,107
948702,09-08-18,14,43.7,17,27, 0.00I,126
948702,10-08-18,15,41.6,15,28, 0.00I,138
948702,11-08-18,12,43.9,12,15.9, 0.08G,108
948702,12-08-18,12,47,7.7,15, 0.08G,105
948702,13-08-18,15,41.2,13.8,16.9, 0.00G,138
948702,14-08-18,14,44.6,7.7,15.9, 0.03G,125
948702,15-08-18,14,49.9,13.7,22, 0.03G,120
948702,16-08-18,13,42.5,14,19, 0.04G,118
948702,17-08-18,10,39.9,12.6,16.9, 0.08G,93
948702,18-08-18,8,41,11,16.9, 0.47G,74
948702,19-08-18,7,37.9,5.7,9.9, 0.04G,66
948702,20-08-18,8,37.2,5.5,11.1, 0.00G,76
948702,21-08-18,9,40.4,6.9,9.9, 0.02G,83
948702,22-08-18,12,43.3,7,11.1, 0.00G,109
948702,23-08-18,10,44.1,7.3,12, 0.39G,90
948702,24-08-18,9,42.2,6.4,9.9, 0.01G,82
948702,25-08-18,12,40.4,5.9,8.9, 0.00G,111
948702,26-08-18,11,39.7,11.8,19, 0.28G,102
948702,27-08-18,7,37.2,6.2,16.9, 0.08G,66
948702,28-08-18,8,40.8,5.5,9.9, 0.01G,74
948702,29-08-18,10,41.4,6.9,8.9, 0.00G,92
948702,30-08-18,8,39.3,4.7,13, 0.02G,75
948702,31-08-18,8,36.3,6.3,13, 0.01G,76
948702,01-09-18,13,38.4,11.5,16.9, 0.00G,122
948702,02-09-18,17,38.7,16.8,22.9, 0.00I,159
948702,03-09-18,12,41,12.9,16.9, 0.16G,111
948702,04-09-18,8,35,14.4,20, 0.00G,77
948702,05-09-18,8,38.6,12.8,18.1, 0.31G,75
948702,06-09-18,10,43.7,9.5,13, 0.08G,90
948702,07-09-18,10,43.6,9.7,14, 0.20G,90
948702,08-09-18,9,41.9,9.2,14, 0.12G,82
948702,09-09-18,9,43.9,5.7,9.9, 0.00G,81
948702,10-09-18,11,41.7,8.7,19, 0.00I,101
948702,11-09-18,14,47.4,10.6,19, 0.03G,123
948702,12-09-18,13,51.1,6,13, 0.12G,110
948702,13-09-18,9,40.1,12.1,15, 0.08G,84
948702,14-09-18,12,44.5,11.1,15, 0.00G,108
948702,15-09-18,11,46.2,10.5,15, 0.28G,97
948702,16-09-18,9,37.9,9.1,15.9, 0.00G,85
948702,17-09-18,14,36,15.9,22, 0.00I,134
948702,18-09-18,14,39.3,17.7,30.9, 0.01G,131
948702,19-09-18,9,41.2,6.7,13, 0.01G,83
948702,20-09-18,14,41.7,12.3,18.1, 0.00G,128
948702,21-09-18,15,47.3,8.6,22.9, 0.00I,131
948702,22-09-18,20,43.6,10.3,15, 0.00I,181
948702,23-09-18,17,46.3,11.7,20, 0.02G,150
948702,24-09-18,14,44,14.4,23.9, 0.16G,126
948702,25-09-18,9,42.1,7.6,12, 0.01G,82
948702,26-09-18,11,40.8,6.4,8.9, 0.00G,102
948702,27-09-18,15,44.8,8.3,19, 0.00I,134
948702,28-09-18,13,43.6,9,15, 0.00I,117
948702,29-09-18,14,41.6,13.1,18.1, 0.00I,128
948702,30-09-18,11,41.6,7.9,15, 0.01G,101
948702,01-10-18,12,47.9,6.7,11.1, 0.00G,105
948702,02-10-18,11,44.2,5.8,9.9, 0.00I,99
948702,03-10-18,13,46.2,5.6,12, 0.00I,115
948702,04-10-18,19,50.3,7.7,11.1, 0.00I,162
948702,05-10-18,12,47.5,15,18.1, 0.20G,105
948702,06-10-18,11,45.3,8.5,15, 0.00G,98
948702,07-10-18,17,46.4,9.5,20, 0.00I,150
948702,08-10-18,18,54.6,12,25.1, 0.12G,148
948702,09-10-18,12,44.4,7.8,14, 0.00G,108
948702,10-10-18,13,42.5,8,15, 0.00I,118
948702,11-10-18,15,48.2,14.7,25.1, 0.43G,131
948702,12-10-18,15,44.5,10.2,14, 0.00G,134
948702,13-10-18,12,44.2,6.2,15, 0.00I,108
948702,14-10-18,11,43.2,5.9,14, 0.00I,100
